row_id,zone,state,lga,period,live_births_count
165,South East,Abia,ab Arochukwu Local Government Area,24-Sep,69
166,South East,Abia,ab Arochukwu Local Government Area,24-Oct,73
167,South East,Abia,ab Arochukwu Local Government Area,24-Nov,77
168,South East,Abia,ab Arochukwu Local Government Area,24-Dec,58
169,South East,Abia,ab Arochukwu Local Government Area,25-Jan,84
170,South East,Abia,ab Arochukwu Local Government Area,25-Feb,58
171,South East,Abia,ab Arochukwu Local Government Area,25-Mar,56
172,South East,Abia,ab Arochukwu Local Government Area,25-Apr,68
173,South East,Abia,ab Arochukwu Local Government Area,25-May,70
174,South East,Abia,ab Arochukwu Local Government Area,25-Jun,69
175,South East,Abia,ab Arochukwu Local Government Area,25-Jul,77
176,South East,Abia,ab Arochukwu Local Government Area,25-Aug,121
177,South East,Abia,ab Arochukwu Local Government Area,25-Sep,122
178,South East,Abia,ab Arochukwu Local Government Area,25-Oct,117
179,South East,Abia,ab Arochukwu Local Government Area,25-Nov,95
180,South East,Abia,ab Arochukwu Local Government Area,25-Dec,67
181,South East,Abia,ab Bende Local Government Area,21-Jan,37
182,South East,Abia,ab Bende Local Government Area,21-Feb,57
183,South East,Abia,ab Bende Local Government Area,21-Mar,91
184,South East,Abia,ab Bende Local Government Area,21-Apr,105
185,South East,Abia,ab Bende Local Government Area,21-May,82
186,South East,Abia,ab Bende Local Government Area,21-Jun,87
187,South East,Abia,ab Bende Local Government Area,21-Jul,90
188,South East,Abia,ab Bende Local Government Area,21-Aug,62
189,South East,Abia,ab Bende Local Government Area,21-Sep,80
190,South East,Abia,ab Bende Local Government Area,21-Oct,78
191,South East,Abia,ab Bende Local Government Area,21-Nov,77
192,South East,Abia,ab Bende Local Government Area,21-Dec,72
193,South East,Abia,ab Bende Local Government Area,22-Jan,92
194,South East,Abia,ab Bende Local Government Area,22-Feb,83
195,South East,Abia,ab Bende Local Government Area,22-Mar,81
196,South East,Abia,ab Bende Local Government Area,22-Apr,94
197,South East,Abia,ab Bende Local Government Area,22-May,79
198,South East,Abia,ab Bende Local Government Area,22-Jun,85
